ANNOT	NSNP	STD	HSQ1	HSQ1_SE	HSQ2	HSQ2_SE	GCOV	GCOV_SE	GCORSQ	GCORSQ_SE	HSQ1_ENRICHMENT	HSQ1_ENRICHMENT_SE	HSQ2_ENRICHMENT	HSQ2_ENRICHMENT_SE	GCOV_ENRICHMENT	GCOV_ENRICHMENT_SE	GCORSQ_ENRICHMENT	GCORSQ_ENRICHMENT_SE	GCORSQ_ENRICHMENT_P	GCOVSQ_DIFF	GCOVSQ_DIFF_SE	GCOVSQ_DIFF_P
base	1014252	0.0	0.20711390027409032	0.02290653595785611	0.22109147248900024	0.023686499854025475	0.1510807807112101	0.013541217472677362	0.5028046445728653	0.12190108090721744	0.9999999340279184	2.1533470113240484e-07	1.0000000022944795	2.1365495452640957e-07	1.000000014315409	2.963899251267737e-07	1.0	0.0	1.0	-0.0003665776620186273	8.077100358754228e-05	3.688510852351001e-05
GERP_NS1	203884	0.401284	0.020870435835662143	0.012540723055056501	0.017061988492133195	0.012564758874708253	0.012158047543155148	0.008199121030562303	0.43760645377212676	0.226818377890047	0.5012414337770127	0.2948294741129712	0.4046234664569587	0.27113395306096966	0.39933580441451183	0.26361155475176345	0.8703309694839341	0.361800618845642	0.7215841573699571	-0.00010678208143865792	0.0002058209705090767	0.606228191715362
GERP_NS2	202058	0.4002885	0.02765116369564312	0.013268317727141914	0.026836166166788453	0.013702083762848906	0.019582865372412543	0.008115611224644001	0.4768136164587815	0.2089696439636245	0.6615160159031424	0.3087838303044894	0.619671509888613	0.2948604636904962	0.6508550858599726	0.26240708421388487	0.9483078997089152	0.3207289856916231	0.8726216820109896	-7.376606727196568e-05	0.0003025284320658054	0.8083790808063989
GERP_NS3	203903	0.40167513	0.03400522728995778	0.009727373864132065	0.04019424596068227	0.0065714534177052	0.025780444790949264	0.005588725560010807	0.46954031155343023	0.17654767869307061	0.7989560081993744	0.18530748956846171	0.9059948583556499	0.11699833597173345	0.8500385358316486	0.15451435369975955	0.9338424308954161	0.2377172216476315	0.7819503398498864	-6.0892240052164127e-05	0.0002525593644754413	0.8104831051502208
GERP_NS4	202467	0.4005105	0.04325740659448368	0.012834349480597406	0.052862512972037645	0.011549167131563565	0.03000265981021788	0.00916490619760626	0.43043882120500176	0.16232592461586298	1.0393076370283718	0.2736969091433272	1.1808748506324813	0.23694890123052664	0.9927679063203646	0.2768911168382395	0.8560756664661707	0.21683997329201957	0.509970807340554	-0.0003416107728922602	0.0004885550192752606	0.4877163177033905
GERP_NS5	201940	0.4000924	0.08132959520170832	0.019016783666412185	0.08413662635532546	0.01891620986103227	0.0635566492913716	0.012661273072131836	0.5400170304547278	0.15691368012560444	2.005835151930518	0.47530660775371064	1.8952383886356357	0.421134060496858	2.114470447450651	0.4212843161631743	1.074009630347537	0.22889725000871566	0.7478202904209423	0.0004287817667550965	0.0017172405059577794	0.8038691236082423
FST1	202853	0.40067676	0.04241560394329703	0.005896680497907646	0.037967704474931196	0.005694708371397242	0.027925346592236902	0.0034118768305584973	0.4820701771599876	0.1321428077395882	1.0216002034936147	0.08831770929054963	0.8595979338097283	0.06810527761749759	0.9297806913679778	0.08813984565451298	0.9587623789145947	0.13084850277815985	0.7539818799723457	-3.836232045387384e-05	0.00012636612603584863	0.7627326676354946
FST2	202848	0.40063474	0.042743646855344514	0.005602494463642877	0.039156739051445226	0.005423137187295473	0.028092832911182437	0.003117738374876717	0.47314857442998254	0.12150429432863993	1.0295199021890704	0.07713841438722208	0.8858675799414637	0.05749319517877494	0.9346229249660574	0.07500144401703912	0.9410187028640602	0.10764828759341816	0.5862429191285607	-5.959125698522694e-05	0.00010641326284248316	0.5780318238050781
FST3	202853	0.40077174	0.04136414692872005	0.005047145019372096	0.041218699449230255	0.005217267804749256	0.029030312023231197	0.0027936819761155184	0.49524989412672654	0.12559037477997853	0.9976016367415005	0.044812411184864086	0.9322396587097348	0.03730954761237291	0.9633319343541428	0.044387134589945774	0.984974779911676	0.064438739800568	0.8166002496794553	-2.0567366598054195e-05	6.240329794350582e-05	0.7431162448181796
FST4	202847	0.40081176	0.04140049943820566	0.004610898220404741	0.04579106803489861	0.004770662377060439	0.030523742850745553	0.0029479663569902223	0.4974135508656097	0.12279910494634097	1.000081211892403	0.0209508006362345	1.035129954136417	0.01712154465077117	1.008483983259651	0.021235500694638414	0.9892779556325789	0.02856099402293486	0.7089767986451334	-3.0210779890338748e-05	3.0587899704396065e-05	0.32816599070546326
